title,rank,date,artist,url,region,chart,trend,streams
All I Want for Christmas Is You,158,2017-11-05,Mariah Carey,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,Ireland,top200,MOVE_UP,3609
All I Want for Christmas Is You,107,2017-12-03,Mariah Carey,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,Costa Rica,top200,MOVE_UP,2758
All I Want for Christmas Is You,6,2017-12-03,Mariah Carey,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,Canada,top200,SAME_POSITION,116012
All I Want for Christmas Is You,153,2017-12-03,Michael Bublé,https://open.spotify.com/track/0xPaZrF25ltzvz1a2Pm5DQ,Canada,top200,MOVE_UP,26208
All I Want for Christmas Is You,173,2017-12-03,Mariah Carey,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,Colombia,top200,NEW_ENTRY,4141
All I Want for Christmas Is You,1,2017-12-03,Mariah Carey,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,Czech Republic,top200,SAME_POSITION,12387
All I Want for Christmas Is You,2,2017-12-03,Mariah Carey,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,Denmark,top200,SAME_POSITION,93921
All I Want for Christmas Is You,115,2017-12-03,Michael Bublé,https://open.spotify.com/track/0xPaZrF25ltzvz1a2Pm5DQ,Denmark,top200,MOVE_DOWN,16193
All I Want for Christmas Is You,187,2017-11-05,Mariah Carey,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,Netherlands,top200,MOVE_UP,18614
All I Want for Christmas Is You,130,2017-11-05,Mariah Carey,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,Norway,top200,MOVE_UP,11597
All I Want for Christmas Is You,130,2017-12-03,Mariah Carey,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,Dominican Republic,top200,MOVE_DOWN,1275
All I Want for Christmas Is You,15,2017-12-03,Mariah Carey,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,Finland,top200,MOVE_UP,35682
All I Want for Christmas Is You,61,2017-12-03,Mariah Carey,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,France,top200,MOVE_UP,58826
All I Want for Christmas Is You,2,2017-12-03,Mariah Carey,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,Germany,top200,MOVE_UP,413577
All I Want for Christmas Is You,21,2017-12-03,Mariah Carey,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,Hong Kong,top200,MOVE_UP,6608
All I Want for Christmas Is You,4,2017-12-03,Mariah Carey,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,Global,top200,MOVE_UP,3216235
All I Want for Christmas Is You,3,2017-12-03,Mariah Carey,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,Greece,top200,MOVE_DOWN,5199
All I Want for Christmas Is You,135,2017-12-03,Mariah Carey,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,Guatemala,top200,MOVE_UP,1221
All I Want for Christmas Is You,1,2017-12-03,Mariah Carey,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,Hungary,top200,MOVE_UP,10136
All I Want for Christmas Is You,105,2017-12-03,Michael Bublé,https://open.spotify.com/track/0xPaZrF25ltzvz1a2Pm5DQ,Hungary,top200,MOVE_UP,1699
All I Want for Christmas Is You,9,2017-12-03,Mariah Carey,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,Iceland,top200,MOVE_UP,4420
All I Want for Christmas Is You,83,2017-12-03,Michael Bublé,https://open.spotify.com/track/0xPaZrF25ltzvz1a2Pm5DQ,Iceland,top200,MOVE_UP,1463
All I Want for Christmas Is You,113,2017-12-03,Mariah Carey,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,Indonesia,top200,MOVE_UP,13061
All I Want for Christmas Is You,2,2017-12-03,Mariah Carey,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,Ireland,top200,MOVE_UP,36220
All I Want for Christmas Is You,21,2017-12-03,Mariah Carey,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,Italy,top200,MOVE_UP,72828
All I Want for Christmas Is You,10,2017-12-03,Mariah Carey,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,Japan,top200,MOVE_UP,14781
All I Want for Christmas Is You,2,2017-12-03,Mariah Carey,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,Latvia,top200,MOVE_UP,3265
All I Want for Christmas Is You,85,2017-12-03,Mariah Carey,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,Malaysia,top200,MOVE_DOWN,6719
All I Want for Christmas Is You,10,2017-12-03,Mariah Carey,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,Netherlands,top200,MOVE_UP,125973
All I Want for Christmas Is You,24,2017-12-03,Mariah Carey,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,New Zealand,top200,MOVE_UP,21945
All I Want for Christmas Is You,1,2017-12-03,Mariah Carey,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,Norway,top200,SAME_POSITION,115476
